#x (Azimuth off)  y (Altitude off)  velocity (not needed) z (temperatur K)
-10	10  2200	308.3
-5	10	2181.1	318.5
0	10	2200	324.8
5	10	2198.9	322.4
10	10	2194.7	312.9
-10	5	2193.8	314.5
-5	5	2195.1	312.9
0	5	2191.1	361.2
5	5	2192.9	327.2
10	5	2105	335.3
-10	0	2160.6	318.5
-5	0	2201.1	387.3
0	0	2172.2	685.2
5	0	2213.6	407.4
10	0	2217.9	313.5
-10	-5	2211.5	329.1
-5	-5	2161.8	326
0	-5	2203.1	318.8
5	-5	2193.1	307.6
10	-5	2183.4	315.6
-10	-10	2168.4	306.7
-5	-10	2160.1	313.4
0	-10	2185.2	321.9
5	-10	2187.3	314.7
10	-10	2169.3	305.3
